date,sero,diva,inf_lab,inf_obs
2020-01-01,,,0,0
2020-02-01,,,4,81
2020-03-01,,,2,0
2020-04-01,,,0,0
2020-05-01,,,2,24
2020-06-01,,,1,0
2020-07-01,,,1,0
2020-08-01,,,1,4
2020-09-01,,,0,0
2020-10-01,,,0,0
2020-11-01,,,1,10
2020-12-01,0.164,0.2,1,0
2021-01-01,0.453,,3,74
2021-02-01,,,6,24
2021-03-01,,,2,103
2021-04-01,,,11,198
2021-05-01,,,2,123
2021-06-01,,,23,1248
2021-07-01,,,34,382
2021-08-01,,,25,739
2021-09-01,,,31,1556
2021-10-01,,,41,1036
2021-11-01,0.50,0.36,16,1040
2021-12-01,0.855,,9,0
2022-01-01,,,0,0
2022-02-01,,,0,12
2022-03-01,,,0,0
2022-04-01,,,0,0
2022-05-01,,,0,0
2022-06-01,,,0,0
2022-07-01,,,0,0
2022-08-01,,,0,0
2022-09-01,,,0,0
2022-10-01,0.603,0.32,0,18
2022-11-01,0.881,,0,0
2022-12-01,,,0,0